6463,0.00
9066,0.00
25954,0.00
7509,0.00
23159,0.00
43333,0.00
57422,0.00
2699,0.00
5318,0.00
7945,0.00
10713,0.00
41440,0.00
52048,0.00
47771,0.00
2318,0.00
2323,0.00
2100,0.00
20986,0.00
8403,0.00
66218,0.00
8313,0.00
13304,0.00
29797,0.00
64497,0.00
40432,0.00
93661,0.00
72770,0.00
52651,0.00
5810,0.00
22516,0.00
31037,0.00
41599,0.00
66293,0.00
7806,0.00
77610,0.00
11510,0.00
18463,0.00
31484,0.00
29449,0.00
11613,0.00
12065,0.00
11,0.00
13578,0.00
36732,0.00
92771,0.00
72695,0.00
60956,0.00
99105,25395.59
94984,25395.62
53743,0.00
61990,0.00
48109,0.00
58933,0.00
61111,0.00
22389,33476.58
59894,0.00
24294,0.00
24070,0.00
87251,0.00
76603,0.00
